row_id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
1486,Kepler-1496,b,Transit,1,8.84E-06,0.00078,-0.00078,19h35m53.74s,293.973936,+45d21m02.5s,45.350704,0.151797326,512.03,-218.88,0.717305699,Kepler-band,6182,140.35,-206.6,0.298969072,0.17,-0.11,1.27,0.52,-0.2
1487,Kepler-1497,b,Transit,1,1.19E-06,8.62E-05,-8.62E-05,19h44m47.07s,296.19614,+45d38m03.6s,45.634331,0.131672079,189.44,-104.84,0.752020725,Kepler-band,5675,159.75,-169,0.242268041,0.07,-0.06,0.95,0.16,-0.08
1488,Kepler-1498,b,Transit,1,6.57E-06,0.0009331,-0.0009331,18h59m06.75s,284.77811,+44d55m00.4s,44.916782,0.086713924,46.6,-39.42,0.734870466,Kepler-band,5256,60.36,-58.16,0.216494845,0.04,-0.04,0.81,0.05,-0.04
1489,Kepler-1499,b,Transit,1,6.04E-06,0.0006553,-0.0006553,18h55m56.72s,283.986337,+41d39m01.5s,41.650406,0.036106577,17.06,-17.35,0.655906736,Kepler-band,5097,77.02,-92.24,0.206185567,0.04,-0.04,0.78,0.04,-0.04
1490,Kepler-15,b,Transit,1,6.65E-07,1.30E-06,-1.30E-06,19h44m48.14s,296.200595,+49d08m24.4s,49.140125,0.047758036,41.48166667,-30.85833333,0.66880829,Kepler-band,5515,122,-130,0.257731959,0.04,-0.05,0.99,0.06,-0.07
1491,Kepler-150,b,Transit,4,4.57E-07,2.60E-05,-2.60E-05,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,0.059409495,65.90333333,-44.36666667,0.73238342,Kepler-band,5560,100,-100,0.256701031,0.046,-0.054,0.94,0.14,-0.14
1492,Kepler-150,c,Transit,4,9.99E-07,1.00E-05,-1.00E-05,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,0.071060954,90.325,-57.875,0.73238342,Kepler-band,5560,100,-100,0.255670103,0.052,-0.058,0.94,0.14,-0.14
1493,Kepler-150,d,Transit,4,1.71E-06,3.60E-05,-3.60E-05,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,0.082712413,114.7466667,-71.38333333,0.73238342,Kepler-band,5560,100,-100,0.254639175,0.058,-0.062,0.94,0.14,-0.14
1494,Kepler-150,e,Transit,4,4.21E-06,0.000199,-0.000199,19h12m56.18s,288.234084,+40d31m15.3s,40.520905,0.094363872,139.1683333,-84.89166667,0.73238342,Kepler-band,5560,100,-100,0.253608247,0.064,-0.066,0.94,0.14,-0.14
1495,Kepler-1500,b,Transit,1,2.05E-06,0.0001612,-0.0001612,19h15m32.00s,288.883334,+39d44m40.5s,39.744572,0.10601533,163.59,-98.4,0.712746114,Kepler-band,5845,122.09,-140.57,0.25257732,0.07,-0.07,1,0.18,-0.1
1496,Kepler-1501,b,Transit,1,1.98E-06,0.0001121,-0.0001121,19h19m40.44s,289.918519,+42d00m05.2s,42.001431,0.104132266,356.86,-131.79,0.666321244,Kepler-band,6229,111.62,-123.73,0.304123711,0.17,-0.09,1.3,0.54,-0.18
1497,Kepler-1502,b,Transit,1,5.70E-06,0.0003485,-0.0003485,19h44m25.90s,296.107919,+39d19m11.7s,39.319913,0.180867127,535.66,-308.68,0.689378238,Kepler-band,6666,321.18,-272.08,0.365979381,0.23,-0.17,1.72,0.61,-0.33
1498,Kepler-1503,b,Transit,1,1.32E-05,0.00118,-0.00118,19h34m54.52s,293.727175,+42d48m24.3s,42.806759,0.099659989,62.67,-85.89,0.774404145,Kepler-band,5069,95.03,-73.98,0.193298969,0.05,-0.07,0.74,0.05,-0.07
